,SUCEPTIBLE HOST,INFECTED HOST,SUCEPTIBLE VECTOR 1,SUCEPTIBLE VECTOR 2,SUCEPTIBLE VECTOR 3,SUCEPTIBLE VECTOR 4,SUCEPTIBLE VECTOR 5,SUCEPTIBLE VECTOR 6,INFECTED VECTOR 1,INFECTED VECTOR 2,INFECTED VECTOR 3,INFECTED VECTOR 4,INFECTED VECTOR 5,INFECTED VECTOR 6
314,1002.6183786999677,68.57945560038867,6421.1068855394615,7350.271456770065,8390.713561909515,9547.542166757928,0.0,0.0,2112.2672046635216,2179.7065965695197,2160.4851946215754,2006.7157540847002,0.0,0.0
315,1002.6252393889793,68.49712733224995,6414.4143355099295,7345.340926200962,8388.081705317776,9547.781187188924,0.0,0.0,2110.505751305263,2179.0461222422277,2160.9034654413103,2007.9373634991366,0.0,0.0
316,1002.6320918418705,68.41489789755444,6407.739748036014,7340.424249663588,8385.460269673276,9548.028022339631,0.0,0.0,2108.733410123505,2178.3732363693966,2161.3100463606297,2009.1503781761728,0.0,0.0
317,1002.6389360685289,68.33276717765457,6401.083053053518,7335.521375197685,8382.849219368456,9548.282651882528,0.0,0.0,2106.950294548882,2177.688028194982,2161.704996079692,2010.3548267993167,0.0,0.0
318,1002.6457720788296,68.25073505404524,6394.444180850567,7330.632251084524,8380.248518940272,9548.545055556258,0.0,0.0,2105.156517206483,2176.9905864576835,2162.088373041438,2011.5507379597411,0.0,0.0
319,1002.6525998826364,68.16880140836352,6387.823062065626,7325.756825845665,8377.658133069579,9548.815213165402,0.0,0.0,2103.3521899209927,2176.2809993936426,2162.4602354327094,2012.7381401566035,0.0,0.0
320,1002.659419489801,68.08696612238866,6381.219627685504,7320.89504824174,8375.07802658049,9549.09310458024,0.0,0.0,2101.5374237218025,2175.559354739125,2162.820641185365,2013.9170617973627,0.0,0.0
321,1002.6662309101632,68.0052290780418,6374.6338090433965,7316.046867271232,8372.508164439747,9549.37870973652,0.0,0.0,2099.7123288480816,2174.8257397331845,2163.169647977388,2015.0875311980951,0.0,0.0
322,1002.6730341535513,67.92359015738582,6368.065537816929,7311.21223216927,8369.948511756109,9549.672008635225,0.0,0.0,2097.8770147538157,2174.0802411203153,2163.5073132339917,2016.2495765838084,0.0,0.0
323,1002.6798292297813,67.8420492426252,6361.514746026211,7306.391092406416,8367.39903377972,9549.972981342344,0.0,0.0,2096.0315901128097,2173.3229451530856,2163.833694128716,2017.4032260887561,0.0,0.0
